'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',8.460
'0:00.004',8.592
'0:00.008',8.352
'0:00.012',8.152
'0:00.016',8.340
'0:00.020',8.528
'0:00.024',8.312
'0:00.028',8.084
'0:00.032',8.248
'0:00.036',8.444
'0:00.040',8.308
'0:00.044',8.084
'0:00.048',8.184
'0:00.052',8.420
'0:00.056',8.340
'0:00.060',8.100
'0:00.064',8.132
'0:00.068',8.356
'0:00.072',8.380
'0:00.076',8.136
'0:00.080',8.060
'0:00.084',8.316
'0:00.088',8.448
'0:00.092',8.180
'0:00.096',8.052
'0:00.100',8.280
'0:00.104',8.428
'0:00.108',8.196
'0:00.112',8.036
'0:00.116',8.268
'0:00.120',8.452
'0:00.124',8.280
'0:00.128',8.052
'0:00.132',8.220
'0:00.136',8.448
'0:00.140',8.300
'0:00.144',8.084
'0:00.148',8.176
'0:00.152',8.400
'0:00.156',8.376
'0:00.160',8.132
'0:00.164',8.160
'0:00.168',8.424
'0:00.172',8.440
'0:00.176',8.172
'0:00.180',8.116
'0:00.184',8.368
'0:00.188',8.476
'0:00.192',8.244
'0:00.196',8.108
'0:00.200',8.328
'0:00.204',8.488
'0:00.208',8.268
'0:00.212',8.092
'0:00.216',8.264
'0:00.220',8.492
'0:00.224',8.292
'0:00.228',8.112
'0:00.232',8.252
'0:00.236',8.468
'0:00.240',8.312
'0:00.244',8.096
'0:00.248',8.196
'0:00.252',8.456
'0:00.256',8.376
'0:00.260',8.156
'0:00.264',8.168
'0:00.268',8.412
'0:00.272',8.424
'0:00.276',8.176
'0:00.280',8.100
'0:00.284',8.372
'0:00.288',8.464
'0:00.292',8.212
'0:00.296',8.076
'0:00.300',8.316
'0:00.304',8.468
'0:00.308',8.236
'0:00.312',8.064
'0:00.316',8.272
'0:00.320',8.480
'0:00.324',8.304
'0:00.328',8.120
'0:00.332',8.252
'0:00.336',8.464
'0:00.340',8.324
'0:00.344',8.096
'0:00.348',8.164
'0:00.352',8.404
'0:00.356',8.368
'0:00.360',8.144
'0:00.364',8.144
'0:00.368',8.376
'0:00.372',8.412
'0:00.376',8.160
'0:00.380',8.068
'0:00.384',8.332
'0:00.388',8.444
'0:00.392',8.216
'0:00.396',8.080
'0:00.400',8.308
'0:00.404',8.472
'0:00.408',8.248
'0:00.412',8.080
'0:00.416',8.304
'0:00.420',8.480
'0:00.424',8.296
'0:00.428',8.080
'0:00.432',8.252
'0:00.436',8.484
'0:00.440',8.336
'0:00.444',8.084
'0:00.448',8.172
'0:00.452',8.460
'0:00.456',8.436
'0:00.460',8.216
'0:00.464',8.216
'0:00.468',8.496
'0:00.472',8.528
'0:00.476',8.288
'0:00.480',8.220
'0:00.484',8.452
'0:00.488',8.588
'0:00.492',8.336
'0:00.496',8.240
'0:00.500',8.464
'0:00.504',8.636
'0:00.508',8.380
'0:00.512',8.196
'0:00.516',8.392
'0:00.520',8.580
'0:00.524',8.436
'0:00.528',8.212
'0:00.532',8.380
'0:00.536',8.560
'0:00.540',8.436
'0:00.544',8.168
'0:00.548',8.208
'0:00.552',8.392
'0:00.556',8.348
'0:00.560',8.088
